exp,method,map,dataset,n_agents,share_fraction,n_access,steps,seed,tasks_completed,fails,collisions,coll_obstacle,coll_robot,rrt_calls,wall_s
R3_prioritized_map2,prioritized,map2,prioritized,2,0.0,0,2000,0,170,1,1,0,1,174,4.79
R4_online_cap1000_map2,online_cap1000,map2,rrt_online,2,0.0,0,2000,0,120,7,22,0,22,142,15.23
R4_online_cap300_map2,online_cap300,map2,rrt_online,2,0.0,0,2000,0,150,83,41,0,41,255,15.5
R3_prioritized_map2,prioritized,map2,prioritized,4,0.0,0,2000,0,335,1,17,0,17,357,7.73
R1_libvariants_map2,lib_filter,map2,original,2,0.0,0,2000,0,101,13,29,0,29,22,24.29
R1_libvariants_map2,lib_regen,map2,original,2,0.0,0,2000,0,120,7,37,0,37,4,41.86
R4_online_cap1000_map2,online_cap1000,map2,rrt_online,4,0.0,0,2000,0,230,18,204,0,204,356,47.82
R2_scripted_map2,scripted_alternative,map2,alternative,2,0.0,0,2000,0,91,1,42,0,42,3,45.43
R1_libvariants_map2,lib_filter,map2,original,4,0.0,0,2000,0,193,29,180,0,180,40,58.76
R4_online_cap300_map2,online_cap300,map2,rrt_online,4,0.0,0,2000,0,299,310,277,0,277,735,42.03
R1_libvariants_map2,lib_repair,map2,original,2,0.0,0,2000,0,85,9,91,0,91,4,68.37
R5_transfer_map3,hybrid_map3lib,map3,map3lib,2,0.0,0,2000,0,86,22,51,0,51,7,70.13
R2_scripted_map2,scripted_original,map2,original,2,0.0,0,2000,0,91,8,224,199,25,8,85.92
R1_libvariants_map2,lib_repair,map2,original,4,0.0,0,2000,0,185,28,199,0,199,22,93.61
R3_prioritized_map2,prioritized,map2,prioritized,6,0.0,0,2000,0,506,1,47,0,47,560,9.58
R1_libvariants_map2,lib_regen,map2,original,4,0.0,0,2000,0,220,30,216,0,216,7,108.98
R2_scripted_map2,scripted_original,map2,original,4,0.0,0,2000,0,187,17,510,379,131,16,118.44
