map,dataset,n_agents,share_fraction,n_access,steps,seed,tasks_completed,fails,collisions,coll_obstacle,coll_robot,rrt_calls,wall_s
map1,rrt_online,2,0.0,0,2000,0,107,0,21,0,21,121,51.49
map2,rrt_online,2,0.0,0,2000,0,116,1,20,0,20,132,56.13
map1,rrt_online,2,0.0,0,2000,1,107,3,42,0,42,128,56.28
map2,rrt_online,2,0.0,0,2000,1,123,2,17,0,17,137,63.04
map1,rrt_online,4,0.0,0,2000,1,213,7,166,0,166,303,134.55
map1,rrt_online,4,0.0,0,2000,0,204,9,187,0,187,305,136.7
map2,rrt_online,4,0.0,0,2000,0,222,7,216,0,216,331,148.69
map2,rrt_online,4,0.0,0,2000,1,216,12,165,0,165,316,148.05
map1,rrt_online,2,0.0,0,2000,2,119,1,24,0,24,134,64.55
map1,rrt_online,6,0.0,0,2000,0,281,16,431,0,431,497,231.48
map2,rrt_online,6,0.0,0,2000,0,306,17,343,0,343,504,237.94
map1,rrt_online,6,0.0,0,2000,1,307,18,421,0,421,533,249.3
map2,rrt_online,2,0.0,0,2000,2,121,2,24,0,24,137,68.92
map1,rrt_online,4,0.0,0,2000,2,211,10,145,0,145,285,147.83
map1,rrt_online,8,0.0,0,2000,1,380,35,736,0,736,794,380.28
map1,rrt_online,8,0.0,0,2000,0,387,36,779,0,779,804,384.39
map2,rrt_online,6,0.0,0,2000,1,331,18,436,0,436,567,278.49
map2,rrt_online,8,0.0,0,2000,0,382,36,859,0,859,845,401.71
map1,rrt_online,6,0.0,0,2000,2,281,10,377,0,377,488,238.91
map1,rrt_online,2,0.0,0,2000,3,112,0,15,0,15,127,57.45
map2,rrt_online,4,0.0,0,2000,2,215,7,160,0,160,299,145.82
map2,rrt_online,8,0.0,0,2000,1,400,38,845,0,845,841,423.77
map1,rrt_online,4,0.0,0,2000,3,226,9,136,0,136,292,156.88
map2,rrt_online,10,0.0,0,2000,0,485,68,1164,0,1164,1165,566.75
map1,rrt_online,10,0.0,0,2000,0,456,72,1390,0,1390,1172,571.65
map1,rrt_online,10,0.0,0,2000,1,436,61,1269,0,1269,1110,550.14
map2,rrt_online,6,0.0,0,2000,2,306,25,387,0,387,508,258.05
map2,rrt_online,2,0.0,0,2000,3,114,2,34,0,34,134,67.31
map1,rrt_online,8,0.0,0,2000,2,399,43,820,0,820,869,436.24
map1,rrt_online,2,0.0,0,2000,4,112,3,32,0,32,129,69.67
map2,rrt_online,4,0.0,0,2000,3,216,11,195,0,195,332,164.15
map2,rrt_online,10,0.0,0,2000,1,485,61,1314,0,1314,1182,589.27
map1,rrt_online,6,0.0,0,2000,3,293,19,400,0,400,546,283.92
map1,rrt_online,4,0.0,0,2000,4,219,9,158,0,158,313,151.01
map1,rrt_online,10,0.0,0,2000,2,457,65,1199,0,1199,1092,539.64
map2,rrt_online,8,0.0,0,2000,2,386,58,846,0,846,843,415.48
map2,rrt_online,2,0.0,0,2000,4,117,2,55,0,55,155,70.85
map2,rrt_online,6,0.0,0,2000,3,321,19,318,0,318,504,240.74
map1,rrt_online,2,0.0,0,2000,5,120,0,28,0,28,134,65.65
map1,rrt_online,8,0.0,0,2000,3,371,55,779,0,779,824,410.57
map2,rrt_online,4,0.0,0,2000,4,217,11,186,0,186,317,151.8
map1,rrt_online,6,0.0,0,2000,4,319,23,358,0,358,536,260.03
map1,rrt_online,4,0.0,0,2000,5,203,6,185,0,185,284,142.8
map2,rrt_online,10,0.0,0,2000,2,470,66,1273,0,1273,1159,572.43
map2,rrt_online,8,0.0,0,2000,3,390,48,772,0,772,802,388.79
map2,rrt_online,2,0.0,0,2000,5,123,0,34,0,34,145,69.3
map1,rrt_online,10,0.0,0,2000,3,453,70,1162,0,1162,1091,546.98
map2,rrt_online,6,0.0,0,2000,4,310,18,456,0,456,539,257.1
map1,rrt_online,8,0.0,0,2000,4,381,24,744,0,744,771,365.64
