exp,map,dataset,n_agents,share_fraction,n_access,steps,seed,tasks_completed,fails,collisions,coll_obstacle,coll_robot,rrt_calls,wall_s
T0_skill_transfer_map2,map2,alternative,2,0.0,0,2000,1,98,6,43,0,43,4,16.7
T0_skill_transfer_map2,map2,original,2,0.0,0,2000,0,88,21,308,270,38,9,21.71
T0_skill_transfer_map2,map2,original,2,0.0,0,2000,1,96,16,247,215,32,13,27.15
T0_skill_transfer_map2,map2,alternative,2,0.0,0,2000,0,91,10,87,0,87,5,26.79
T0_skill_transfer_map2,map2,alternative,4,0.0,0,2000,0,190,18,222,0,222,5,42.16
T0_skill_transfer_map2,map2,alternative,4,0.0,0,2000,1,185,15,220,0,220,3,42.67
T0_skill_transfer_map2,map2,original,4,0.0,0,2000,1,171,48,617,452,165,12,45.87
T0_skill_transfer_map2,map2,original,4,0.0,0,2000,0,179,47,679,498,181,14,48.29
T0_skill_transfer_map2,map2,original,2,0.0,0,2000,2,92,19,267,227,40,8,21.24
T0_skill_transfer_map2,map2,alternative,6,0.0,0,2000,0,277,48,633,0,633,11,74.63
T0_skill_transfer_map2,map2,alternative,2,0.0,0,2000,2,102,6,27,0,27,1,18.66
T0_skill_transfer_map2,map2,original,6,0.0,0,2000,0,256,97,1289,709,580,26,93.74
T0_skill_transfer_map2,map2,alternative,8,0.0,0,2000,0,344,52,959,0,959,22,107.11
T0_skill_transfer_map2,map2,alternative,6,0.0,0,2000,1,289,30,512,0,512,12,83.27
T0_skill_transfer_map2,map2,original,6,0.0,0,2000,1,252,94,1370,772,598,34,102.49
T0_skill_transfer_map2,map2,alternative,4,0.0,0,2000,2,186,25,282,0,282,2,45.83
T0_skill_transfer_map2,map2,original,4,0.0,0,2000,2,176,54,827,537,290,14,56.62
T0_skill_transfer_map2,map2,original,8,0.0,0,2000,0,307,147,2176,1006,1170,50,147.94
T0_skill_transfer_map2,map2,alternative,8,0.0,0,2000,1,364,58,1023,0,1023,19,124.47
T0_skill_transfer_map2,map2,alternative,10,0.0,0,2000,0,427,94,1643,0,1643,27,165.86
T0_skill_transfer_map2,map2,original,2,0.0,0,2000,3,93,27,304,294,10,6,26.84
T0_skill_transfer_map2,map2,original,8,0.0,0,2000,1,335,142,1998,891,1107,43,142.48
T0_skill_transfer_map2,map2,alternative,2,0.0,0,2000,3,105,2,24,0,24,2,21.87
T0_skill_transfer_map2,map2,original,6,0.0,0,2000,2,255,81,1235,699,536,27,99.55
T0_skill_transfer_map2,map2,alternative,6,0.0,0,2000,2,266,43,764,0,764,4,88.63
T0_skill_transfer_map2,map2,original,10,0.0,0,2000,0,391,191,2749,1059,1690,67,198.7
T0_skill_transfer_map2,map2,alternative,10,0.0,0,2000,1,428,76,1658,0,1658,23,163.63
T0_skill_transfer_map2,map2,alternative,4,0.0,0,2000,3,197,20,175,0,175,4,40.95
T0_skill_transfer_map2,map2,original,4,0.0,0,2000,3,185,47,633,376,257,16,48.76
T0_skill_transfer_map2,map2,original,10,0.0,0,2000,1,408,186,2740,1092,1648,57,185.22
T0_skill_transfer_map2,map2,alternative,8,0.0,0,2000,2,362,56,915,0,915,16,110.57
T0_skill_transfer_map2,map2,alternative,2,0.0,0,2000,4,95,5,59,0,59,1,16.55
T0_skill_transfer_map2,map2,original,2,0.0,0,2000,4,86,29,311,281,30,5,30.12
T0_skill_transfer_map2,map2,original,8,0.0,0,2000,2,325,121,1852,827,1025,42,143.79
T0_skill_transfer_map2,map2,alternative,6,0.0,0,2000,3,275,38,604,0,604,13,75.13
T0_skill_transfer_map2,map2,original,6,0.0,0,2000,3,247,101,1340,776,564,38,95.04
T0_skill_transfer_map2,map2,original,4,0.0,0,2000,4,161,54,803,472,331,19,61.68
T0_skill_transfer_map2,map2,alternative,4,0.0,0,2000,4,181,20,223,0,223,3,44.99
T0_skill_transfer_map2,map2,original,8,0.0,0,2000,3,338,119,1697,890,807,52,118.25
T0_skill_transfer_map2,map2,alternative,8,0.0,0,2000,3,365,76,1105,0,1105,8,113.07
T0_skill_transfer_map2,map2,original,2,0.0,0,2000,5,95,22,267,251,16,3,20.01
T0_skill_transfer_map2,map2,alternative,2,0.0,0,2000,5,95,4,41,0,41,3,16.82
T0_skill_transfer_map2,map2,alternative,10,0.0,0,2000,2,427,92,1640,0,1640,28,175.74
T0_skill_transfer_map2,map2,alternative,6,0.0,0,2000,4,279,29,421,0,421,16,67.31
T0_skill_transfer_map2,map2,original,6,0.0,0,2000,4,248,98,1345,716,629,31,85.34
T0_skill_transfer_map2,map2,original,10,0.0,0,2000,2,401,180,2643,1059,1584,72,205.57
T0_skill_transfer_map2,map2,alternative,4,0.0,0,2000,5,192,13,160,0,160,3,38.19
T0_skill_transfer_map2,map2,alternative,10,0.0,0,2000,3,415,104,2013,0,2013,24,160.74
T0_skill_transfer_map2,map2,original,4,0.0,0,2000,5,188,52,670,432,238,18,54.97
T0_skill_transfer_map2,map2,original,10,0.0,0,2000,3,399,185,2685,1191,1494,62,179.75
T0_skill_transfer_map2,map2,original,2,0.0,0,2000,6,92,21,219,198,21,2,24.85
T0_skill_transfer_map2,map2,alternative,8,0.0,0,2000,4,350,73,993,0,993,14,124.38
T0_skill_transfer_map2,map2,original,8,0.0,0,2000,4,340,154,1873,864,1009,45,136.6
T0_skill_transfer_map2,map2,alternative,2,0.0,0,2000,6,105,6,37,0,37,2,19.34
T0_skill_transfer_map2,map2,alternative,6,0.0,0,2000,5,279,33,580,0,580,19,78.22
