exp,map,dataset,n_agents,share_fraction,n_access,steps,seed,tasks_completed,fails,collisions,coll_obstacle,coll_robot,rrt_calls,wall_s
S4_throughput_map1,map1,original,5,1.0,5,300,0,35,3,61,0,61,2,12.74
S4_throughput_map1,map1,original,5,0.0,0,300,0,35,4,64,0,64,2,12.77
S4_throughput_map1,map1,original,5,0.6,3,300,0,38,3,36,0,36,3,13.1
S4_throughput_map1,map1,original,5,0.0,0,600,0,69,11,127,0,127,6,26.04
S4_throughput_map1,map1,original,5,0.6,3,600,0,74,6,77,0,77,7,30.77
S4_throughput_map1,map1,original,5,1.0,5,600,0,72,9,168,0,168,4,37.58
S4_throughput_map1,map1,original,5,1.0,5,1000,0,121,20,232,0,232,16,47.05
S4_throughput_map1,map1,original,5,0.6,3,300,1,36,5,65,0,65,2,16.26
S4_throughput_map1,map1,original,5,0.0,0,1000,0,119,21,226,0,226,8,48.62
S4_throughput_map1,map1,original,5,0.6,3,1000,0,117,13,129,0,129,14,49.07
S4_throughput_map1,map1,original,5,0.0,0,300,1,39,4,63,0,63,2,18.32
S4_throughput_map1,map1,original,5,1.0,5,300,1,38,9,48,0,48,4,26.88
S4_throughput_map1,map1,original,5,0.6,3,1500,0,179,22,257,0,257,23,79.02
S4_throughput_map1,map1,original,5,0.0,0,600,1,81,10,105,0,105,7,30.28
S4_throughput_map1,map1,original,5,0.0,0,1500,0,180,33,375,0,375,13,84.24
S4_throughput_map1,map1,original,5,0.6,3,600,1,71,13,158,0,158,5,36.6
S4_throughput_map1,map1,original,5,0.0,0,2000,0,241,39,442,0,442,15,94.32
S4_throughput_map1,map1,original,5,0.6,3,2000,0,243,31,338,0,338,29,95.84
S4_throughput_map1,map1,original,5,1.0,5,1500,0,187,27,299,0,299,27,104.74
S4_throughput_map1,map1,original,5,1.0,5,600,1,77,17,74,0,74,10,46.72
S4_throughput_map1,map1,original,5,0.6,3,1000,1,122,22,244,0,244,12,50.73
S4_throughput_map1,map1,original,5,0.0,0,1000,1,130,18,235,0,235,12,54.68
S4_throughput_map1,map1,original,5,0.6,3,300,2,35,9,55,0,55,2,13.22
S4_throughput_map1,map1,original,5,1.0,5,1000,1,127,22,104,0,104,13,64.4
S4_throughput_map1,map1,original,5,0.0,0,300,2,39,1,59,0,59,0,16.39
S4_throughput_map1,map1,original,5,1.0,5,300,2,39,5,38,0,38,1,13.11
S4_throughput_map1,map1,original,5,0.0,0,600,2,82,8,77,0,77,1,27.23
S4_throughput_map1,map1,original,5,1.0,5,600,2,74,11,72,0,72,4,23.97
S4_throughput_map1,map1,original,5,0.0,0,1500,1,202,23,351,0,351,16,86.58
S4_throughput_map1,map1,original,5,0.6,3,1500,1,191,30,289,0,289,17,83.79
S4_throughput_map1,map1,original,5,0.6,3,600,2,75,17,132,0,132,8,33.42
S4_throughput_map1,map1,original,5,1.0,5,2000,0,249,45,425,0,425,41,137.69
S4_throughput_map1,map1,original,5,1.0,5,1500,1,192,31,213,0,213,25,94.64
S4_throughput_map1,map1,original,5,0.0,0,1000,2,128,16,172,0,172,5,53.65
S4_throughput_map1,map1,original,5,1.0,5,1000,2,122,17,146,0,146,18,54.29
S4_throughput_map1,map1,original,5,0.0,0,300,3,39,6,63,0,63,1,23.76
S4_throughput_map1,map1,original,5,0.0,0,2000,1,270,35,470,0,470,24,119.64
S4_throughput_map1,map1,original,5,0.6,3,1000,2,123,25,219,0,219,18,76.67
S4_throughput_map1,map1,original,5,0.6,3,300,3,39,4,42,0,42,2,13.05
S4_throughput_map1,map1,original,5,0.6,3,2000,1,254,36,353,0,353,28,132.09
S4_throughput_map1,map1,original,5,1.0,5,300,3,41,4,46,0,46,2,16.51
S4_throughput_map1,map1,original,5,0.0,0,1500,2,189,21,229,0,229,12,85.31
S4_throughput_map1,map1,original,5,0.0,0,600,3,77,13,157,0,157,1,29.56
S4_throughput_map1,map1,original,5,1.0,5,2000,1,259,50,299,0,299,31,140.92
S4_throughput_map1,map1,original,5,0.6,3,600,3,79,7,94,0,94,7,32.69
S4_throughput_map1,map1,original,5,1.0,5,600,3,83,10,75,0,75,9,33.38
S4_throughput_map1,map1,original,5,0.6,3,1500,2,180,34,275,0,275,29,99.49
S4_throughput_map1,map1,original,5,0.0,0,2000,2,251,27,306,0,306,15,103.11
S4_throughput_map1,map1,original,5,1.0,5,1500,2,192,31,222,0,222,32,107.62
S4_throughput_map1,map1,original,5,0.6,3,1000,3,133,14,135,0,135,13,52.53
S4_throughput_map1,map1,original,5,0.0,0,300,4,35,2,66,0,66,3,9.62
S4_throughput_map1,map1,original,5,0.0,0,1000,3,133,25,249,0,249,5,61.93
S4_throughput_map1,map1,original,5,1.0,5,2000,2,250,35,264,0,264,47,123.9
S4_throughput_map1,map1,original,5,0.6,3,300,4,35,4,54,0,54,5,15.1
