exp,map,dataset,n_agents,share_fraction,n_access,steps,seed,tasks_completed,fails,collisions,coll_obstacle,coll_robot,rrt_calls,wall_s
S4_throughput_map1,map1,original,5,0.0,0,300,0,35,4,64,0,64,2,5.22
S4_throughput_map1,map1,original,5,0.6,3,300,0,38,3,36,0,36,3,6.09
S4_throughput_map1,map1,original,5,1.0,5,300,0,35,3,61,0,61,2,6.23
S4_throughput_map1,map1,original,5,0.0,0,600,0,69,11,127,0,127,6,10.85
S4_throughput_map1,map1,original,5,0.6,3,600,0,74,6,77,0,77,7,11.06
S4_throughput_map1,map1,original,5,1.0,5,600,0,72,9,168,0,168,4,13.05
S4_throughput_map1,map1,original,5,0.6,3,1000,0,117,13,129,0,129,14,17.33
S4_throughput_map1,map1,original,5,0.0,0,300,1,39,4,63,0,63,2,5.63
S4_throughput_map1,map1,original,5,0.6,3,300,1,36,5,65,0,65,2,5.86
S4_throughput_map1,map1,original,5,0.0,0,1000,0,119,21,226,0,226,8,18.48
S4_throughput_map1,map1,original,5,1.0,5,1000,0,121,20,232,0,232,16,20.02
S4_throughput_map1,map1,original,5,1.0,5,300,1,38,9,48,0,48,4,10.76
S4_throughput_map1,map1,original,5,0.0,0,600,1,81,10,105,0,105,7,11.36
S4_throughput_map1,map1,original,5,0.6,3,1500,0,179,22,257,0,257,23,28.59
S4_throughput_map1,map1,original,5,0.0,0,1500,0,180,33,375,0,375,13,29.26
S4_throughput_map1,map1,original,5,0.6,3,600,1,71,13,158,0,158,5,11.67
S4_throughput_map1,map1,original,5,1.0,5,1500,0,187,27,299,0,299,27,35.34
S4_throughput_map1,map1,original,5,0.0,0,2000,0,241,39,442,0,442,15,37.41
S4_throughput_map1,map1,original,5,0.6,3,2000,0,243,31,338,0,338,29,38.11
S4_throughput_map1,map1,original,5,1.0,5,600,1,77,17,74,0,74,10,16.29
S4_throughput_map1,map1,original,5,0.0,0,1000,1,130,18,235,0,235,12,20.25
S4_throughput_map1,map1,original,5,0.6,3,1000,1,122,22,244,0,244,12,21.38
S4_throughput_map1,map1,original,5,0.0,0,300,2,39,1,59,0,59,0,5.53
S4_throughput_map1,map1,original,5,1.0,5,1000,1,127,22,104,0,104,13,24.4
S4_throughput_map1,map1,original,5,0.6,3,300,2,35,9,55,0,55,2,6.3
S4_throughput_map1,map1,original,5,1.0,5,300,2,39,5,38,0,38,1,5.96
S4_throughput_map1,map1,original,5,0.0,0,600,2,82,8,77,0,77,1,11.74
S4_throughput_map1,map1,original,5,0.0,0,1500,1,202,23,351,0,351,16,31.86
S4_throughput_map1,map1,original,5,1.0,5,2000,0,249,45,425,0,425,41,47.57
S4_throughput_map1,map1,original,5,0.6,3,600,2,75,17,132,0,132,8,15.22
S4_throughput_map1,map1,original,5,1.0,5,600,2,74,11,72,0,72,4,13.61
S4_throughput_map1,map1,original,5,0.6,3,1500,1,191,30,289,0,289,17,32.91
S4_throughput_map1,map1,original,5,1.0,5,1500,1,192,31,213,0,213,25,39.03
S4_throughput_map1,map1,original,5,0.0,0,1000,2,128,16,172,0,172,5,21.73
S4_throughput_map1,map1,original,5,1.0,5,1000,2,122,17,146,0,146,18,22.52
S4_throughput_map1,map1,original,5,0.0,0,300,3,39,6,63,0,63,1,8.09
S4_throughput_map1,map1,original,5,0.6,3,2000,1,254,36,353,0,353,28,49.27
S4_throughput_map1,map1,original,5,0.0,0,2000,1,270,35,470,0,470,24,51.24
S4_throughput_map1,map1,original,5,0.6,3,1000,2,123,25,219,0,219,18,30.87
S4_throughput_map1,map1,original,5,0.6,3,300,3,39,4,42,0,42,2,6.57
S4_throughput_map1,map1,original,5,1.0,5,2000,1,259,50,299,0,299,31,51.85
S4_throughput_map1,map1,original,5,1.0,5,300,3,41,4,46,0,46,2,6.96
S4_throughput_map1,map1,original,5,0.0,0,1500,2,189,21,229,0,229,12,32.52
S4_throughput_map1,map1,original,5,0.6,3,600,3,79,7,94,0,94,7,13.49
S4_throughput_map1,map1,original,5,0.0,0,600,3,77,13,157,0,157,1,16.25
S4_throughput_map1,map1,original,5,0.6,3,1500,2,180,34,275,0,275,29,40.83
